Depth,Area_m2
0,379471.272351988
1.524,346596.077301368
3.048,281357.651721738
4.572,266334.384630978
6.096,256261.044765528
7.62,245780.153726716
9.144,230551.150006995
10.668,209274.850890342
12.192,179344.591324635
12.192,346.40268739406
13.716,146057.030999452
15.24,113320.140844699
16.764,85227.449435832
18.288,51892.7165765911
18.288,4220.761467278
16.764,435.437738567591
19.812,21413.0547315553
