datetime,top,bottom
2012-03-23,0.5,0.5
2012-03-24,2.534732811211983,2.534732811211983
2012-03-25,1.5,1.5
2012-03-26,2.836625793058822,2.836625793058822
2012-03-27,3.521304923796013,3.521304923796013
2012-03-28,9.50279017666448,9.50279017666448
2012-03-29,7.325772747959746,7.325772747959746
2012-03-30,1.7481549272054062,1.7481549272054062
2012-03-31,12.537312435111073,12.537312435111073
2012-04-01,13.095598828966835,13.095598828966835
2012-04-02,1.5,1.5
2012-04-03,1.5,1.5
2012-04-04,1.5,1.5
2012-04-05,1.5,1.5
2012-04-06,1.5,1.5
2012-04-07,1.5,1.5
2012-04-08,1.5,1.5
2012-04-09,10.428766435306237,10.428766435306237
2012-04-10,10.495454776545483,10.495454776545483
2012-04-11,13.300644474661787,13.300644474661787
2012-04-12,1.5,1.5
2012-04-13,1.5,1.5
2012-04-14,5.396273720444926,5.396273720444926
2012-04-15,1.5,1.5
2012-04-16,5.761517639948766,5.761517639948766
2012-04-17,6.766944865957287,6.766944865957287
2012-04-18,11.558898897987692,11.558898897987692
2012-04-19,13.48179798658328,13.48179798658328
2012-04-20,13.490808350270568,13.490808350270568
2012-04-21,2.462499391095184,2.462499391095184
2012-04-22,1.5,1.5
2012-04-23,2.378517075266319,2.378517075266319
2012-04-24,2.5296701188856012,2.5296701188856012
2012-04-25,1.5,1.5
2012-04-26,6.56690504564766,6.56690504564766
2012-04-27,1.5,1.5
2012-04-28,1.5,1.5
2012-04-29,1.5,1.5
2012-04-30,1.9477814259299113,1.9477814259299113
2012-05-01,1.5,1.5
2012-05-02,1.5,1.5
2012-05-03,1.5,1.5
2012-05-04,1,2.0431861291507794
2012-05-05,1,2.0580766952627862
2012-05-06,1.5,1.5
2012-05-07,3.558862420939085,3.558862420939085
2012-05-08,1,1.561298196696789
2012-05-09,1.5,1.5
2012-05-10,1.5,1.5
2012-05-11,1.294447068105994,1.667504078281079
2012-05-12,3.324004186651826,3.324004186651826
2012-05-13,1,1.8895119515221048
2012-05-14,4.418325365521073,4.9329979841455085
2012-05-15,1,1.6761816992147736
2012-05-16,6.980136425391317,7.140762188384441
2012-05-17,5.081704685468769,5.482653319948696
2012-05-18,6.342829676881987,7.303412565292515
2012-05-19,7.869779016319423,8.55590283768957
2012-05-20,6.452130260002599,7.94538520697918
2012-05-21,7.604169870710515,8.707954028865707
2012-05-22,5.690994004896635,6.661515653258649
2012-05-23,5.3495704453823265,6.3047795944262965
2012-05-24,7.378038841791975,7.919647312498377
2012-05-25,7.631739690678137,8.081295830633689
2012-05-26,7.600797842032349,8.897955570344708
2012-05-27,7.554853349678787,9.441636018165783
2012-05-28,7.187897046411745,9.082912150076488
2012-05-29,6.91607216973564,8.834759088927134
2012-05-30,6.205524468225503,8.661524585723502
2012-05-31,9.451157916449311,10.481959086097472
2012-06-01,7.757006288904613,9.296659923060451
2012-06-02,8.013884656507615,10.52954494254655
2012-06-03,7.897950765219106,9.084225817510918
2012-06-04,9.27384464234251,10.493361371456976
2012-06-05,7.814363985325027,10.59126709261115
2012-06-06,9.314848372742953,9.796128156963654
2012-06-07,8.067834456223332,10.558630750504237
2012-06-08,10.714484740626727,10.874800993033537
2012-06-09,8.738374137309526,9.949257892153568
2012-06-10,10.152181179243646,10.759387931712242
2012-06-11,7.381997611284251,10.535029658016422
2012-06-12,7.94906343760244,9.86412868252702
2012-06-13,6.82354143971942,9.013087631983428
2012-06-14,9.646959290786464,10.551797896070179
2012-06-15,7.445900552996018,9.957833574612687
2012-06-16,7.488365024288809,10.689730535643521
2012-06-17,10.140199948294734,11.022758145226314
2012-06-18,7.523412495290594,10.87355989653257
2012-06-19,6.5350221322673585,9.431082181082
2012-06-20,11.424012449714041,11.424012449714041
2012-06-21,9.299456756758534,10.766203319492595
2012-06-22,10.247726583298533,10.45657968001164
2012-06-23,8.554980450169346,10.070095550858323
2012-06-24,9.334921192887167,11.576978221941086
2012-06-25,6.2451206853590016,10.381842363447065
2012-06-26,9.32380259244876,11.360671423097052
2012-06-27,6.920551789107967,10.374529263026949
2012-06-28,5.478829749494915,10.398274950873434
2012-06-29,6.246627197024434,10.371322476505275
2012-06-30,5.141534998425178,10.882967909781366
2012-07-01,5.616270458967038,10.769858895697014
2012-07-02,8.818998696567274,10.963858865015784
2012-07-03,11.30457050797818,11.368478052613238
2012-07-04,8.024302753621807,10.906492586026408
2012-07-05,10.963735344100728,11.871062356182378
2012-07-06,6.649599077861627,11.485285886142213
2012-07-07,1,10.416795344461026
2012-07-08,11.436316011858494,11.48569733369895
2012-07-09,3.180622856111641,11.40717994881898
2012-07-10,5.571158439473095,10.44404363384415
2012-07-11,4.833271903025443,11.78265408635353
2012-07-12,7.953695368125419,11.866659715428646
2012-07-13,5.012888307546948,11.859730391278688
2012-07-14,10.678726393284759,11.962392733942966
2012-07-15,9.50571452850394,12.491892673576304
2012-07-16,11.996280098200518,12.143300075343756
2012-07-17,5.171627582223624,12.082757030230441
2012-07-18,6.293396364809418,12.085231143927937
2012-07-19,8.786393882784022,12.105455261183579
2012-07-20,6.933769878877768,12.153381934031128
2012-07-21,6.983097281533257,11.268805422074703
2012-07-22,12.328619703963753,12.328619703963753
2012-07-23,6.59967171521746,11.87071011765698
2012-07-24,6.133162955362828,11.709415164362362
2012-07-25,5.938593783387879,12.440647793260469
2012-07-26,6.055875081824663,11.685093561232225
2012-07-27,6.172313541417148,12.002898184823618
2012-07-28,7.271812660221935,11.452227920773675
2012-07-29,7.772613498400886,12.506688596895971
2012-07-30,7.7980115880093335,12.24439499622899
