datetime,wtr_0,wtr_1,wtr_2,wtr_3,wtr_4,wtr_5,wtr_6,wtr_7,wtr_8,wtr_9,wtr_10,wtr_11,wtr_12,wtr_13,wtr_14,wtr_15,wtr_16,wtr_17,wtr_18
2012-03-23,8.324999928474417,6.537500083446504,6.408571447644916,5.915714263916014,5.7399999754769455,5.657142843518939,5.505714348384313,5.297142846243723,5.1357143265860445,5.028571469443186,4.977142810821536,4.887142794472831,4.792857238224574,4.731428486960276,4.667142731802806,4.628571442195347,4.599999904632565,NA,NA
2012-03-24,NA,7.031302520206996,6.794285774230957,6.232857091086253,5.85428578513009,5.791428702218191,5.606249928474426,5.427142824445454,5.287142957959857,5.125714302062987,5.037500023841856,4.99285704748971,4.851428644997733,4.742857115609306,4.698571273258757,4.640000045299531,4.620000089917865,4.601428508758546,NA
2012-03-25,NA,7.781680684129731,7.121428625924247,6.322499930858614,6.06428575515747,5.9028572354997895,5.778571537562777,5.672857148306711,5.416249871253967,5.278571469443186,5.107142925262451,5.007143020629886,4.907142843518939,4.738571371350968,4.6742856161935,4.617142881665909,4.612500011920927,4.58500003814697,NA
2012-03-26,8.195000171661375,8.113395322755325,7.985714231218609,7.074285711560929,6.038571493966237,5.884285722460069,5.657777733272977,5.60000010899135,5.428571360451836,5.26428590502058,5.061111185285779,5.0128572327750085,4.840000084468295,4.784285817827499,4.757143020629886,4.665555530124243,4.634545499628243,4.618571383612498,4.612857239586963
2012-03-27,NA,7.175170019370359,7.038571493966237,7,6.05000019073486,NA,NA,NA,NA,5.1100001335144,5.13000011444092,5.095714296613421,5.001428604125977,4.887999916076664,4.807999992370604,4.7024998664855975,4.672500014305117,4.65000009536743,NA
2012-03-28,NA,6.499268303072549,6.3500000408717545,6.321666638056435,6.297142914363316,6.263333479563397,6.195999908447264,6.1599999666214,5.9800000190734846,5.83000008265177,5.462499976158142,5.251666784286502,5.1099999972752155,4.978333155314127,4.90000009536743,NA,NA,NA,NA
2012-03-29,NA,6.3581094836714245,6.33833336830139,6.324285779680524,6.306250095367433,6.311428546905518,6.284285817827495,6.115714209420341,5.805000066757202,5.741666714350384,5.687142848968506,5.6700000081743545,5.66499996185303,5.584285736083984,5.451428481510709,5.300000054495675,5.013333400090535,4.9199999173482265,4.735999965667726
2012-03-30,6.015000104904175,6.597575800759452,6.277142865317207,6.248571463993619,6.218571254185267,6.175714356558667,6.157999897003174,6.145714146750318,6.041428565979006,5.981428486960274,5.862857205527169,5.676249921321869,5.577142851693289,5.445714269365585,5.251428536006381,5.051428658621651,4.996250033378603,4.964285646166119,4.925714288439071
2012-03-31,NA,6.230096058203625,6.22833331425985,6.207142829895019,6.178749978542328,6.158571379525322,6.152857031141012,6.131428650447303,6.1200000445048,6.117999935150144,6.06333335240682,5.989999907357351,5.894999901453655,5.435000061988831,5.238571371350969,5.014285836900984,4.939999977747599,4.862000083923336,4.86500000953674
2012-04-01,6.17999982833862,6.1585026450335665,6.096666733423868,6.077142919812884,6.070000103541784,6.0600000108991345,6.062857287270683,6.04428584235055,6.03999996185303,6.03999996185303,6.0175000429153425,5.961428506033761,5.840000073115031,5.594285760607039,5.27428572518485,5.20571415764945,5.0500000317891445,5.03500008583069,4.955999851226808
2012-04-02,NA,6.534129382365972,6.152000045776366,6.117142813546314,6.101249992847441,6.092857224600656,6.096666733423868,6.09000015258789,6.08400011062622,5.986000061035154,6.0316667556762695,5.9885713032313745,5.881428650447303,5.847142900739397,5.407499909400942,5.270000049046108,5.241999816894528,5.05666677157084,4.988571235111778
2012-04-03,NA,6.6653072234638575,6.37166659037272,6.29428570611136,6.2742856570652545,6.2628572327750085,6.257142884390694,6.17199993133545,6.096000003814698,6.075714315686906,6.05000019073486,6.012857232775008,5.969999994550432,5.934285708836147,5.814285755157472,5.496666590372722,5.19249999523163,5.172000026702884,5.09333340326945
2012-04-04,NA,7.147198066619283,6.665714263916018,6.65000009536743,6.647142818995886,6.624285697937012,6.54000016621181,6.527142865317207,6.5142857006617945,6.216666698455811,6.098000049591064,6.02333339055379,6.0042858123779315,5.94999987738473,5.758750081062317,5.412857191903254,5.228571414947512,5.114285741533549,5.07000017166138
2012-04-05,NA,7.558911901681534,6.931999969482424,6.8171428952898285,6.737142835344589,6.717142718178884,6.677500069141389,6.638333320617677,6.603333314259847,6.575000047683715,6.525000174840292,6.311999893188476,5.861428601401191,5.78571435383388,5.768571444920129,5.650000015894573,5.553333441416423,5.37333329518636,5.32999992370605
2012-04-06,NA,7.613769648586892,7.1449999809265154,7.09571429661342,7.038750112056732,6.954285689762662,6.968571322304862,6.907500028610232,6.849999984105427,6.530000050862628,6.329999923706055,6.358333349227905,6.234285831451415,5.808571543012347,5.6987499594688416,5.635714258466451,5.613333225250243,5.577999973297116,5.493999862670896
2012-04-07,NA,8.296160384069514,7.268750071525575,7.155714239392965,7.155714239392963,7.124285766056605,7.055714334760395,6.911249876022341,6.949999945504325,6.909999915531705,6.621428625924248,6.194999933242799,6.138571398598809,6.077142851693287,5.9371427808489114,5.841428688594273,5.7912500500679,5.711428437914168,5.657142775399344
2012-04-08,NA,8.144033582270646,7.810000079018728,7.780000073569163,7.638749957084657,7.37857151031494,7.2614285605294375,7.102857181004116,7.047142982482907,6.711249887943268,6.6828571047101715,6.525714397430422,6.2185714585440515,6.040000029972623,5.943749964237215,5.907142775399344,5.882857118334091,5.850000040871755,5.834285736083982
