daynum,depth_calculated,year4,sample_time,wtaer_temp,pH,chlorophylla,opt_do2,opt_dosat_raw
82,0,2012,NA,8.324999928474417,7.5900000333786,1.0625000074505804,9.630000114440918,87.27499961853027
82,1,2012,NA,6.537500083446504,6.555000126361849,1.2374999970197686,9.727499842643738,84.5
82,2,2012,NA,6.408571447644916,6.26571430478777,1.3542857340403958,9.707142693655832,84.02857208251953
82,3,2012,NA,5.915714263916014,6.100000040871757,1.8114285809653172,9.567143031529017,81.81428636823381
82,4,2012,NA,5.7399999754769455,6.0971429007393985,2.069999967302594,9.487143107822964,80.74285561697823
82,5,2012,NA,5.657142843518939,6.36714288166591,2.3128571169716956,9.444285529000421,80.21428571428571
82,6,2012,NA,5.505714348384313,6.3442856924874445,2.6314285482679085,9.377142769949778,79.32857186453683
82,7,2012,NA,5.297142846243723,6.3414286204746775,2.8566666444142665,9.280000141688756,78.14285823277065
82,8,2012,NA,5.1357143265860445,6.320000035422188,2.94714287349156,9.078571592058452,76.08571406773159
82,9,2012,NA,5.028571469443186,6.3814285823277075,3.312857151031494,8.95285701751709,74.82857186453683
82,10,2012,NA,4.977142810821536,6.390000002724785,3.228571380887713,8.872857093811035,74.04285648890904
82,11,2012,NA,4.887142794472831,6.381428582327708,3.712857144219533,8.718571526663647,72.57142748151507
82,12,2012,NA,4.792857238224574,6.378571442195349,4.245714323861262,8.689999989100865,72.15714372907365
82,13,2012,NA,4.731428486960276,6.3571429252624485,4.2628572327750085,8.43285710471017,69.92857142857143
82,14,2012,NA,4.667142731802806,6.344285760607039,4.1957142012459885,8.045714173998151,66.6000006539481
82,15,2012,NA,4.628571442195347,6.39999989100865,3.998571463993617,7.6857142448425275,63.55714307512556
82,16,2012,NA,4.599999904632565,6.389999866485596,3.75500011444092,7.4300000667572,61.4499988555908
83,1,2012,NA,7.031302520206996,6.171218441314056,1.5020168060515109,9.867983176928607,86.77815134385052
83,2,2012,NA,6.794285774230957,6.178571428571429,1.7200000115803313,9.847142900739398,86.07142857142857
83,3,2012,NA,6.232857091086253,6.15000009536743,1.90571427345276,9.727142878941127,83.85714176722935
83,4,2012,NA,5.85428578513009,6.128571510314942,2.1257143020629887,9.64999989100865,82.34285627092635
83,5,2012,NA,5.791428702218191,6.11142860140119,2.767142840794156,9.59714276450021,81.7999997820173
83,6,2012,NA,5.606249928474426,6.09375,2.7549999952316275,9.49875009059906,80.57499885559082
83,7,2012,NA,5.427142824445454,6.092857156481061,3.2228571687425873,9.438571521214078,79.67142704554966
83,8,2012,NA,5.287142957959857,6.081428527832028,3.57857142175947,9.358571461268834,78.74285670689174
83,9,2012,NA,5.125714302062987,6.064285823277065,4.394285781042916,9.23428576333182,77.35714176722935
83,10,2012,NA,5.037500023841856,6.0487500429153425,4.5625,9.071249961853027,75.8375015258789
83,11,2012,NA,4.99285704748971,6.051428726741243,4.771428516932896,9.090000016348702,75.90000043596541
83,12,2012,NA,4.851428644997733,6.055714402879987,5.159999983651297,8.858571461268832,73.68571472167969
83,13,2012,NA,4.742857115609306,6.007142884390694,5.549999850136896,8.48142855507987,70.34285736083984
83,14,2012,NA,4.698571273258757,5.979999950953895,5.304285662514822,8.31571442740304,68.91428593226841
83,15,2012,NA,4.640000045299531,5.947499930858614,4.692499935626984,7.853749930858611,64.98750019073486
83,16,2012,NA,4.620000089917865,5.9499999455043255,4.297142880303517,7.885714190346853,65.22857175554549
83,17,2012,NA,4.601428508758546,5.949285541261949,4.129285727228437,7.473571436745781,61.764285496303025
84,1,2012,NA,7.781680684129731,6.037521051759479,1.253571424664569,9.971848660156505,89.32983199688567
84,2,2012,NA,7.121428625924247,6.042857101985389,1.3914285727909628,9.914285523550852,87.38571493966238
84,3,2012,NA,6.322499930858614,6.011250078678128,1.8550000041723238,9.837500095367432,85.16250038146973
84,4,2012,NA,6.06428575515747,6.01714304515294,2.3514285087585445,9.818571499415803,84.28571319580078
84,5,2012,NA,5.9028572354997895,6.028571401323587,2.865000009536742,9.791428702218193,83.6999991280692
84,6,2012,NA,5.778571537562777,6.027142865317206,2.884000015258788,9.734285490853445,82.92857142857143
84,7,2012,NA,5.672857148306711,6.01714304515294,3.3728570938110356,9.641428538731164,81.91428702218191
84,8,2012,NA,5.416249871253967,5.996250092983248,3.8462499976158138,9.492500066757202,80.15000057220459
